# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-132.7828904102811,-114.44395478041628,0.06092900881581131,16.412543375241913,0.0,0.0
 0.06518728005436894,0.008498762961773456,0.1303745601087379,2.0000000000000004,-132.7828904102811,-114.45938198435864,0.06092900881581131,16.412543375241913,0.0,0.0
 0.09207314874742015,0.01695492944052912,0.3145208576035784,6.849185332160536,-132.75329579227318,-114.474809188301,0.06294535794777151,15.886795033078425,1.1007499272499304,40.941579378256236
 0.11262547459996444,0.025368995057734482,0.4093972466947693,4.61633343943141,-132.72287451762486,-114.49023639224336,0.06499293199424451,15.386288467314502,1.4801864697247356,18.461975797636185
 0.12988736580964835,0.03374145559393883,0.4850256808192259,4.381236864824471,-132.6916195105904,-114.50566359618571,0.0670715060121033,14.909460953799762,1.810636311791272,19.143316224884686
 0.1450393170717167,0.042072806993259965,0.5498533657627309,4.278504056820442,-132.6595238519846,-114.52109080012808,0.06918082378875913,14.45487268341094,2.1182524976958104,20.302083908798622
 0.1586876576295102,0.05036354536788133,0.6074539494024543,4.220336047141802,-132.62658078749445,-114.53651800407043,0.07132059495527283,14.021195429274368,2.413704754115183,21.647485653533334
 0.1711931175640038,0.05861416700256569,0.6597615503870287,4.182781061918018,-132.59278373594523,-114.5519452080128,0.0734904929804392,13.607202230445886,2.702583649561453,23.10022157997247
 0.18279109436617794,0.06682516835916999,0.7079684238603644,4.1564899029888505,-132.55812629778674,-114.56737241195516,0.07569015795197458,13.211757341482894,2.988231374285787,24.629099505595438
 0.19364535378000763,0.0749970460811687,0.7528728962923716,4.1370369658563035,-132.5226022635504,-114.58279961589751,0.07791919050443129,12.833808892600466,3.272819718229907,26.21904757329811
 0.2038753258711969,0.0831302969981735,0.7950413593024078,4.12205064042692,-132.48620562252518,-114.59822681983988,0.08017715625951706,12.472380496549471,3.557843628583061,27.86165082489678
 0.21357132079289984,0.0912254181304475,0.8348932933281927,4.110143863275202,-132.44893057140914,-114.61365402378223,0.08246358120884993,12.126565270884461,3.844376097247575,29.551631470346184
 0.22280362058707065,0.0992829066934147,0.8727498827599408,4.100450621810437,-132.4107715230284,-114.6290812277246,0.08477795373095727,11.795519424466162,4.133211575825818,31.285322727562587
 0.2316282151446038,0.10730326010214976,0.9088636714633476,4.092402032519225,-132.3717231152233,-114.64450843166695,0.08711972142232287,11.478457273208956,4.424952053096114,33.05992987760001
 0.2400905828805553,0.11528697597584961,0.9434375960503183,4.085608858627945,-132.3317802195973,-114.65993563560932,0.08948829181711766,11.174646198897678,4.720061438158024,34.873145940960136
 0.24822827411708376,0.12323455214229219,0.9766377139952794,4.079795728293605,-132.2909379505117,-114.67536283955168,0.09188303210081163,10.88340226847136,5.018901295034827,36.722928923055086
 0.2560727305300659,0.1311464866422475,1.0086020092942962,4.074762305533066,-132.24919167389726,-114.69079004349403,0.09430326641605476,10.604086560354329,5.321755188206743,38.60737790201876
 0.26365059997454665,0.13902327773387682,1.0394466610092208,4.0703593458435625,-132.20653701630724,-114.7062172474364,0.0967482792436746,10.336101146371345,5.628845667311701,40.52464632108745
 0.27098470796068513,0.14686542389707563,1.0692706158704675,4.066473375850773,-132.16296987372712,-114.72164445137875,0.09921731004352932,10.078886431825987,5.9403464828225765,42.472897331156666
 0.2780947894493783,0.15467342383778812,1.0981589948201251,4.063016576616941,-132.11848642061278,-114.73707165532112,0.10170955690624253,9.831917770734325,6.2563914612079214,44.4502610677438
 0.28499804954794034,0.1624477764922605,1.1261856779946358,4.059919918177316,-132.07308311872896,-114.75249885926347,0.1042241733691212,9.594703106527808,6.577081152319437,46.45481794584505
 0.29170959962884524,0.17018898103124236,1.1534152983535706,4.057128387733571,-132.02675672602263,-114.76792606320583,0.10676026994402296,9.36678036243562,6.902487822916755,48.48457758262679
 0.29824280114039686,0.17789753686414062,1.1799048015384863,4.054597602427927,-131.9795043055136,-114.7833532671482,0.10931691315932159,9.147715308632723,7.232659275164674,50.53746645716186
 0.30460953993849665,0.18557394364308516,1.2057046821577846,4.052291359431688,-131.93132323397066,-114.79878047109055,0.11189312520792859,8.93709955943872,7.56762183447811,52.6113242486731
 0.31082044757942134,0.1932187012669436,1.2308599750358347,4.050179833990401,-131.88221121065675,-114.81420767503292,0.11448788402244714,8.734548712630014,7.907382648924563,54.70389097524387
 0.31688508160313084,0.20083230988524575,1.2554110583651041,4.048238233879869,-131.83216626592392,-114.82963487897527,0.11710012334525371,8.539700654726355,8.251931532417622,56.812807194309826
 0.3228120737379815,0.20841526990203194,1.2793943106822192,4.046445780836084,-131.78118676967583,-114.84506208291764,0.1197287330656279,8.352213995715312,8.601242432623891,58.93561055232806
 0.3286092527452699,0.21596808197960934,1.3028426529665078,4.04478492984406,-131.729271439766,-114.86048928685999,0.12237255835385782,8.171766721656308,8.955274598997969,61.06973166241266
 0.3342837470190629,0.22349124704220966,1.3257859995286692,4.043240763872599,-131.67641935021956,-114.87591649080235,0.12503040108747554,7.99805480349028,9.313973544840733,63.21249586934599
 0.33984207087966134,0.23098526627955354,1.3482516357974532,4.041800519764103,-131.6226299393136,-114.89134369474472,0.12770101939391038,7.8307910519912935,9.67727182779445,65.36112181750406
 0.34529019762389596,0.2384506411502983,1.3702645370071194,4.040453213200466,-131.56790301750814,-114.90677089868707,0.13038312826962628,7.66970399676288,10.045089693145913,67.51272182511195
